Training,ROUGH,TWI,SLOPE,SPI,LANDCOVER,ELEVATION,CURVE,ASPECT
1,0.499581,3.29974,29.425593,0.28212,6,2407,-0.135098,270.753845
1,0.530082,-8.284882,31.982948,-0.737394,5,1492.5,1.929978,252.349869
1,0.491543,5.892066,27.283002,0.34943,5,1564,-0.270197,167.005386
1,0.533439,11.019848,27.963552,0.854128,5,1384,-0.656193,131.37851
1,0.464347,6.481069,20.246958,0.384474,5,1246,-0.874923,119.207596
1,0.474394,6.725336,33.954936,0.666232,5,1186,-0.784858,191.445068
1,0.497198,-0.439106,49.280724,-0.164245,6,915,1.814179,344.498444
1,0.509385,-8.460376,31.632941,-0.603899,6,1187,0.913523,326.309937
1,0.49812,-0.077646,36.886698,-0.020444,2,1877,-0.283063,323.365875
1,0.484699,2.145016,36.62499,0.379887,2,2284,-0.59186,272.779175
1,0.48982,1.087879,26.366592,0.049449,5,1463,-0.398862,206.350464
1,0.436336,-6.493048,32.349823,-0.707228,5,1274,0.360263,21.801409
1,0.481205,-2.311482,31.337012,-0.195129,2,2008,0.244464,312.898346
1,0.500448,-0.310384,31.54697,0.10623,2,2384,-0.115799,274.79422
1,0.50826,5.001349,29.608988,0.459412,5,1790,0.025733,173.190948
1,0.427774,20.051559,18.991621,0.625577,5,1326,-1.248052,83.290161
1,0.502262,4.890577,32.282976,0.592739,3,1397,-0.977855,194.834991
1,0.480502,-2.391855,23.142571,-0.101891,5,1454,-0.0386,219.447021
1,0.496848,-4.424611,43.039505,-0.646115,5,1327.5,-0.0193,52.633331
1,0.481165,2.00767,27.671961,0.105419,5,1254.5,-0.308796,65.556046
1,0.465427,1.934757,25.018379,0.08648,6,1656.5,-0.231597,278.47113
1,0.506437,1.691635,40.044561,0.33329,2,2132.5,-0.154398,314.607574
1,0.519543,0.944439,33.601427,0.073257,2,1208,-1.47965,71.016785
1,0.446601,-1.87458,21.481121,-0.13728,2,1055,-0.759125,38.990993
1,0.457667,9.141736,17.042107,-0.12989,5,997,-0.964989,162.824097
1,0.499268,11.209403,21.21247,0.111992,5,943,-1.312385,96.115501
1,0.525577,8.099316,24.911631,0.613853,2,1698,-0.398862,97.253197
1,0.584991,-48.615472,13.049032,-0.836449,5,1346,1.106521,313.830872
1,0.573819,-8.88268,33.279391,-0.510622,2,1381,1.582582,49.763641
1,0.582089,-50.435501,14.292857,-0.963216,2,989.5,1.370284,10.007979
1,0.466666,-8.362485,34.480787,-1.040495,5,1773,0.84919,316.867676
1,0.509034,5.095067,25.671018,0.308265,5,1825,-0.250897,351.218842
